Id	Name
RAID_01_01_E_01	Loyalty's Requiem: Story
RAID_01_01_E_02	Loyalty's Requiem: Story
RAID_01_01_E_03	Loyalty's Requiem: Story
RAID_01_01_E_04	Loyalty's Requiem: Story
RAID_01_01_E_06	Loyalty's Requiem: Story
RAID_01_01_E_07	Loyalty's Requiem: Story
RAID_01_01_E_08	Loyalty's Requiem: Story
RAID_01_01_E_09	Loyalty's Requiem: Story
RAID_01_01_E_10	Loyalty's Requiem: Story
RAID_01_01_E_11	Loyalty's Requiem: Story
RAID_01_01_E_12	Loyalty's Requiem: Story
RAID_01_01_E_13	Loyalty's Requiem: Story
RAID_01_01_E_14	Loyalty's Requiem: Story
RAID_01_01_E_15	Loyalty's Requiem: Story
RAID_01_01_E_16	Loyalty's Requiem: Story
RAID_01_01_E_17	Loyalty's Requiem: Story
RAID_01_01_E_18	Loyalty's Requiem: Story
RAID_01_01_E_19	Phraeganoth Clash: Beginner
RAID_01_01_E_20	Phraeganoth Clash: Beginner
RAID_01_01_E_21	Phraeganoth Clash: Beginner
RAID_01_01_E_22	Phraeganoth Clash: Beginner
RAID_01_01_E_23	Phraeganoth Clash: Beginner
RAID_01_01_E_24	Phraeganoth Clash: Beginner
RAID_01_01_E_25	Assault on Archeole: Beginner
RAID_01_02_E_01	Assault on Archeole: Standard
RAID_01_02_E_02	Assault on Archeole: Standard
RAID_01_02_E_04	Assault on Archeole: Standard
RAID_01_02_E_08	Assault on Archeole: Standard
RAID_01_02_E_09	Assault on Archeole: Standard
RAID_01_02_E_19	Phraeganoth Clash: Standard
RAID_01_02_E_20	Phraeganoth Clash: Standard
RAID_01_02_E_21	Phraeganoth Clash: Standard
RAID_01_02_E_22	Phraeganoth Clash: Standard
RAID_01_02_E_23	Phraeganoth Clash: Standard
RAID_01_02_E_24	Phraeganoth Clash: Standard
RAID_01_02_E_25	Assault on Archeole: Standard
RAID_01_03_E_01	Assault on Archeole: Expert
RAID_01_03_E_02	Assault on Archeole: Expert
RAID_01_03_E_04	Assault on Archeole: Expert
RAID_01_03_E_08	Assault on Archeole: Expert
RAID_01_03_E_09	Assault on Archeole: Expert
RAID_01_03_E_19	Phraeganoth Clash: Expert
RAID_01_03_E_20	Phraeganoth Clash: Expert
RAID_01_03_E_21	Phraeganoth Clash: Expert
RAID_01_03_E_22	Phraeganoth Clash: Expert
RAID_01_03_E_23	Phraeganoth Clash: Expert
RAID_01_03_E_24	Phraeganoth Clash: Expert
RAID_01_03_E_25	Assault on Archeole: Expert
RAID_01_04_E_01	Phraeganoth Clash: EX
RAID_01_04_E_02	Phraeganoth Clash: EX
RAID_01_04_E_03	Phraeganoth Clash: EX
RAID_01_04_E_04	Phraeganoth Clash: EX
RAID_01_04_E_05	Phraeganoth Clash: EX
RAID_01_04_E_06	Phraeganoth Clash: EX
RAID_02_01_E_01	Kindness And Captivity: Story
RAID_02_01_E_02	Kindness And Captivity: Story
RAID_02_01_E_03	Kindness And Captivity: Story
RAID_02_01_E_04	Kindness And Captivity: Story
RAID_02_01_E_05	Kindness And Captivity: Story
RAID_02_01_E_06	Kindness And Captivity: Story
RAID_02_01_E_07	Kindness And Captivity: Story
RAID_02_01_E_08	Kindness And Captivity: Story
RAID_02_01_E_09	Kindness And Captivity: Story
RAID_02_01_E_10	Kindness And Captivity: Story
RAID_02_01_E_11	Kindness And Captivity: Story
RAID_02_01_E_12	Kindness And Captivity: Story
RAID_02_01_E_13	Storm Sentinel Clash: Beginner
RAID_02_01_E_14	Storm Sentinel Clash: Beginner
RAID_02_01_E_15	Hypnos Showdown: Beginner
RAID_02_01_E_16	Hypnos Showdown: Beginner
RAID_02_01_E_17	Hypnos Showdown: Beginner
RAID_02_01_E_18	Hypnos Showdown: Beginner
RAID_02_01_E_19	Hypnos Showdown: Beginner
RAID_02_01_E_20	Hypnos Showdown: Beginner
RAID_02_01_E_21	Hypnos Showdown: Beginner
RAID_02_01_E_22	Hypnos Showdown: Beginner
RAID_02_02_E_01	Storm Sentinel Clash: Standard
RAID_02_02_E_02	Storm Sentinel Clash: Standard
RAID_02_02_E_03	Storm Sentinel Clash: Standard
RAID_02_02_E_04	Storm Sentinel Clash: Standard
RAID_02_02_E_05	Storm Sentinel Clash: Standard
RAID_02_02_E_06	Storm Sentinel Clash: Standard
RAID_02_02_E_07	Storm Sentinel Clash: Standard
RAID_02_02_E_08	Storm Sentinel Clash: Standard
RAID_02_02_E_09	Hypnos Showdown: Standard
RAID_02_02_E_10	Hypnos Showdown: Standard
RAID_02_02_E_11	Hypnos Showdown: Standard
RAID_02_02_E_12	Hypnos Showdown: Standard
RAID_02_02_E_13	Hypnos Showdown: Standard
RAID_02_02_E_14	Hypnos Showdown: Standard
RAID_02_02_E_15	Hypnos Showdown: Standard
RAID_02_02_E_16	Hypnos Showdown: Standard
RAID_02_03_E_01	Storm Sentinel Clash: Expert
RAID_02_03_E_02	Storm Sentinel Clash: Expert
RAID_02_03_E_03	Storm Sentinel Clash: Expert
RAID_02_03_E_04	Storm Sentinel Clash: Expert
RAID_02_03_E_05	Storm Sentinel Clash: Expert
RAID_02_03_E_06	Storm Sentinel Clash: Expert
RAID_02_03_E_07	Storm Sentinel Clash: Expert
RAID_02_03_E_08	Storm Sentinel Clash: Expert
RAID_02_03_E_09	Hypnos Showdown: Expert
RAID_02_03_E_10	Hypnos Showdown: Expert
RAID_02_03_E_11	Hypnos Showdown: Expert
RAID_02_03_E_12	Hypnos Showdown: Expert
RAID_02_03_E_13	Hypnos Showdown: Expert
RAID_02_03_E_14	Hypnos Showdown: Expert
RAID_02_03_E_15	Hypnos Showdown: Expert
RAID_02_03_E_16	Hypnos Showdown: Expert
RAID_02_04_E_01	Hypnos Showdown: EX
RAID_02_04_E_02	Hypnos Showdown: EX
RAID_02_04_E_03	Hypnos Showdown: EX
RAID_02_04_E_04	Hypnos Showdown: EX
RAID_02_04_E_05	Hypnos Showdown: EX
RAID_02_04_E_06	Hypnos Showdown: EX
RAID_02_04_E_07	Hypnos Showdown: EX
RAID_02_04_E_08	Hypnos Showdown: EX
RAID_02_05_E_01	Hypnos Clash: Nightmare
RAID_02_05_E_02	Hypnos Clash: Nightmare
RAID_02_05_E_03	Hypnos Clash: Nightmare
RAID_02_05_E_04	Hypnos Clash: Nightmare
RAID_02_05_E_05	Hypnos Clash: Nightmare
RAID_02_05_E_06	Hypnos Clash: Nightmare
RAID_02_05_E_07	Hypnos Clash: Nightmare
RAID_02_05_E_08	Hypnos Clash: Nightmare
RAID_02_06_E_01	Hypnos Clash: Omega (Solo)
RAID_02_06_E_02	Hypnos Clash: Omega (Solo)
RAID_02_06_E_03	Hypnos Clash: Omega (Solo)
RAID_02_06_E_04	Hypnos Clash: Omega (Solo)
RAID_02_06_E_05	Hypnos Clash: Omega (Solo)
RAID_02_06_E_06	Hypnos Clash: Omega (Solo)
RAID_02_06_E_07	Hypnos Clash: Omega (Solo)
RAID_02_06_E_08	Hypnos Clash: Omega (Solo)
RAID_02_06_E_21	Hypnos Clash: Omega (Raid)
RAID_02_06_E_22	Hypnos Clash: Omega (Raid)
RAID_02_06_E_23	Hypnos Clash: Omega (Raid)
RAID_02_06_E_24	Hypnos Clash: Omega (Raid)
RAID_02_06_E_25	Hypnos Clash: Omega (Raid)
RAID_02_06_E_26	Hypnos Clash: Omega (Raid)
RAID_02_06_E_27	Hypnos Clash: Omega (Raid)
RAID_02_06_E_28	Hypnos Clash: Omega (Raid)
RAID_03_01_E_01	Resplendent Refrain: Story
RAID_03_01_E_02	Resplendent Refrain: Story
RAID_03_01_E_03	Resplendent Refrain: Story
RAID_03_01_E_04	Resplendent Refrain: Story
RAID_03_01_E_05	Resplendent Refrain: Story
RAID_03_01_E_06	Resplendent Refrain: Story
RAID_03_01_E_07	Resplendent Refrain: Story
RAID_03_01_E_08	Resplendent Refrain: Story
RAID_03_01_E_09	Resplendent Refrain: Story
RAID_03_01_E_10	Resplendent Refrain: Story
RAID_03_01_E_11	Resplendent Refrain: Story
RAID_03_01_E_12	Resplendent Refrain: Story
RAID_03_01_E_13	Manticore Assault: Beginner
RAID_03_01_E_14	Sabnock Clash: Beginner
RAID_03_01_E_15	Sabnock Clash: Beginner
RAID_03_01_E_16	Sabnock Clash: Beginner
RAID_03_01_E_17	Sabnock Clash: Beginner
RAID_03_01_E_18	Sabnock Clash: Beginner
RAID_03_01_E_19	Sabnock Clash: Beginner
RAID_03_01_E_20	Sabnock Clash: Beginner
RAID_03_02_E_01	Manticore Assault: Standard
RAID_03_02_E_02	Manticore Assault: Standard
RAID_03_02_E_03	Manticore Assault: Standard
RAID_03_02_E_04	Manticore Assault: Standard
RAID_03_02_E_05	Manticore Assault: Standard
RAID_03_02_E_06	Manticore Assault: Standard
RAID_03_02_E_07	Sabnock Clash: Standard
RAID_03_02_E_08	Sabnock Clash: Standard
RAID_03_02_E_09	Sabnock Clash: Standard
RAID_03_02_E_10	Sabnock Clash: Standard
RAID_03_02_E_11	Sabnock Clash: Standard
RAID_03_02_E_12	Sabnock Clash: Standard
RAID_03_02_E_13	Sabnock Clash: Standard
RAID_03_03_E_01	Manticore Assault: Expert
RAID_03_03_E_02	Manticore Assault: Expert
RAID_03_03_E_03	Manticore Assault: Expert
RAID_03_03_E_04	Manticore Assault: Expert
RAID_03_03_E_05	Manticore Assault: Expert
RAID_03_03_E_06	Manticore Assault: Expert
RAID_03_03_E_07	Sabnock Clash: Expert
RAID_03_03_E_08	Sabnock Clash: Expert
RAID_03_03_E_09	Sabnock Clash: Expert
RAID_03_03_E_10	Sabnock Clash: Expert
RAID_03_03_E_11	Sabnock Clash: Expert
RAID_03_03_E_12	Sabnock Clash: Expert
RAID_03_03_E_13	Sabnock Clash: Expert
RAID_03_04_E_01	Sabnock Clash: EX
RAID_03_04_E_02	Sabnock Clash: EX
RAID_03_04_E_03	Sabnock Clash: EX
RAID_03_04_E_04	Sabnock Clash: EX
RAID_03_05_E_01	Sabnock Clash: Nightmare
RAID_03_05_E_02	Sabnock Clash: Nightmare
RAID_03_05_E_03	Sabnock Clash: Nightmare
RAID_03_05_E_04	Sabnock Clash: Nightmare
RAID_04_01_E_01	Shishimai Showdown: Beginner
RAID_04_01_E_02	Shishimai Showdown: Beginner
RAID_04_01_E_04	Shishimai Showdown: Beginner
RAID_04_01_E_05	Shishimai Showdown: Beginner
RAID_04_01_E_06	Fortune from Afar: Story
RAID_04_01_E_07	Fortune from Afar: Story
RAID_04_01_E_08	Fortune from Afar: Story
RAID_04_01_E_09	Fortune from Afar: Story
RAID_04_01_E_10	Fortune from Afar: Story
RAID_04_01_E_11	Fortune from Afar: Story
RAID_04_01_E_12	Fortune from Afar: Story
RAID_04_01_E_13	Fortune from Afar: Story
RAID_04_01_E_14	Fortune from Afar: Story
RAID_04_01_E_15	Fortune from Afar: Story
RAID_04_01_E_16	Fortune from Afar: Story
RAID_04_01_E_17	Fortune from Afar: Story
RAID_04_01_E_18	Fortune from Afar: Story
RAID_04_01_E_19	Fortune from Afar: Story
RAID_04_01_E_20	Ieyasu's Crucible: Beginner
RAID_04_01_E_21	Ieyasu's Crucible: Beginner
RAID_04_01_E_22	Ieyasu's Crucible: Beginner
